product_type,brand,condition,age_years,weight_kg,storage_gb,screen_size_inch,location_tier,resale_price_inr,green_points,price_per_kg,age_category,brand_tier,product_category
Tablet,Dell,Working,0.6,0.47,512.0,11.2,1,19290,1970,41042.553191489365,New,Premium,Mobile
Headphones,MSI,Working,0.6,0.48,,,2,2674,303,5570.833333333334,New,Premium,Accessory
Speaker,Local,Working,1.2,1.15,,,1,1063,143,924.3478260869566,Recent,Budget,Accessory
Charger,MSI,Repairable,0.8,0.12,,,2,331,53,2758.3333333333335,New,Premium,Accessory
Speaker,Generic,Dead,1.1,1.72,,,2,374,50,217.4418604651163,Recent,Budget,Accessory
Headphones,Apple,Repairable,2.8,0.48,,,2,1076,128,2241.666666666667,Recent,Premium,Accessory
Laptop,MSI,Working,1.5,2.33,128.0,13.0,2,20146,2059,8646.351931330471,Recent,Premium,Computer
Battery,LG,Dead,2.7,0.62,,,1,177,28,285.48387096774195,Recent,Budget,Accessory
Monitor,Acer,Repairable,1.8,5.08,,23.4,2,2666,296,524.8031496062993,Recent,Budget,Computer
Smartphone,Asus,Dead,0.9,0.16,256.0,6.1,1,3446,354,21537.5,New,Budget,Mobile
Mouse,Apple,Working,3.1,0.13,,,2,703,105,5407.692307692308,Old,Premium,Computer
Charger,OnePlus,Repairable,1.0,0.12,,,1,284,48,2366.666666666667,New,Budget,Accessory
Battery,Xiaomi,Dead,3.7,0.64,,,2,102,21,159.375,Old,Budget,Accessory
Laptop,HP,Repairable,1.8,2.88,256.0,14.1,1,11562,1187,4014.5833333333335,Recent,Budget,Computer
Charger,Samsung,Repairable,1.4,0.26,,,3,351,56,1350.0,Recent,Premium,Accessory
Mouse,LG,Working,1.1,0.19,,,2,703,105,3700.0,Recent,Budget,Computer
Battery,MSI,Repairable,1.0,0.5,,,3,521,73,1042.0,New,Premium,Accessory
Keyboard,OnePlus,Working,8.0,0.63,,,2,175,53,277.77777777777777,Very_Old,Budget,Computer
Speaker,HP,Repairable,1.3,2.46,,,3,1236,148,502.4390243902439,Recent,Budget,Accessory
Mouse,HP,Working,2.2,0.18,,,1,708,105,3933.3333333333335,Recent,Budget,Computer
Battery,Sony,Repairable,4.5,0.33,,,2,338,54,1024.2424242424242,Old,Premium,Accessory
Laptop,Asus,Repairable,0.8,2.12,128.0,14.6,2,13547,1383,6390.094339622641,New,Budget,Computer
Charger,Sony,Repairable,2.0,0.3,,,1,260,47,866.6666666666667,Recent,Premium,Accessory
Headphones,Dell,Dead,2.8,0.32,,,2,331,44,1034.375,Recent,Premium,Accessory
Keyboard,Realme,Working,0.8,1.16,,,1,1043,141,899.1379310344828,New,Budget,Computer
Monitor,HP,Repairable,5.3,7.96,,23.6,1,1783,214,223.99497487437185,Very_Old,Budget,Computer
Laptop,Samsung,Repairable,2.7,2.23,64.0,14.4,3,10094,1038,4526.457399103139,Recent,Premium,Computer
Tablet,Generic,Dead,2.3,0.63,128.0,10.3,1,1240,135,1968.2539682539682,Recent,Budget,Mobile
Laptop,Lenovo,Repairable,2.1,2.36,32.0,16.0,2,8911,921,3775.8474576271187,Recent,Budget,Computer
Mouse,HP,Working,0.6,0.14,,,2,805,115,5749.999999999999,New,Budget,Computer
Headphones,OnePlus,Repairable,2.2,0.28,,,3,900,111,3214.2857142857138,Recent,Budget,Accessory
Tablet,Acer,Repairable,2.2,0.72,32.0,11.0,2,5636,589,7827.777777777778,Recent,Budget,Mobile
Mouse,Apple,Working,1.8,0.11,,,1,913,126,8300.0,Recent,Premium,Computer
Monitor,MSI,Repairable,1.6,6.0,,22.7,1,4880,520,813.3333333333334,Recent,Premium,Computer
Keyboard,Asus,Dead,0.5,0.85,,,1,340,46,400.0,New,Budget,Computer
Headphones,Asus,Dead,3.2,0.21,,,2,344,44,1638.095238095238,Old,Budget,Accessory
Laptop,Apple,Working,6.2,1.76,1024.0,13.4,2,11400,1184,6477.272727272727,Very_Old,Premium,Computer
Battery,OnePlus,Dead,2.5,0.58,,,1,200,31,344.82758620689657,Recent,Budget,Accessory
Charger,Xiaomi,Dead,2.0,0.28,,,2,64,17,228.57142857142856,Recent,Budget,Accessory
Tablet,HP,Repairable,0.5,0.74,256.0,12.4,2,8954,921,12100.0,New,Budget,Mobile
Smartphone,Apple,Working,2.3,0.23,512.0,6.3,2,13584,1398,59060.86956521739,Recent,Premium,Mobile
Keyboard,LG,Repairable,5.4,0.9,,,1,260,48,288.88888888888886,Very_Old,Budget,Computer
Charger,Sony,Repairable,1.1,0.14,,,1,312,51,2228.5714285714284,Recent,Premium,Accessory
Mouse,Lenovo,Dead,1.2,0.16,,,2,146,24,912.5,Recent,Budget,Computer
Battery,Local,Dead,1.6,0.61,,,3,68,17,111.47540983606558,Recent,Budget,Accessory
Mouse,Lenovo,Working,0.7,0.12,,,2,660,101,5500.0,New,Budget,Computer
Battery,Asus,Working,1.0,0.44,,,3,890,125,2022.7272727272727,New,Budget,Accessory
Mouse,Asus,Repairable,3.8,0.1,,,2,242,44,2420.0,Old,Budget,Computer
Monitor,LG,Working,2.7,6.99,,19.3,1,7484,802,1070.6723891273248,Recent,Budget,Computer
Headphones,Local,Repairable,0.8,0.47,,,2,467,67,993.6170212765958,New,Budget,Accessory
Tablet,HP,Repairable,2.2,0.67,512.0,12.6,2,7288,754,10877.611940298506,Recent,Budget,Mobile
Monitor,Generic,Working,8.0,6.6,,30.4,2,428,90,64.84848484848486,Very_Old,Budget,Computer
Mouse,Local,Working,0.6,0.12,,,3,315,66,2625.0,New,Budget,Computer
Tablet,Asus,Dead,1.1,0.49,64.0,12.2,2,2672,278,5453.061224489796,Recent,Budget,Mobile
Mouse,OnePlus,Dead,1.9,0.17,,,1,136,23,799.9999999999999,Recent,Budget,Computer
Charger,Generic,Dead,3.3,0.25,,,3,45,14,180.0,Old,Budget,Accessory
Charger,Local,Dead,1.6,0.14,,,3,52,15,371.4285714285714,Recent,Budget,Accessory
Headphones,Xiaomi,Repairable,2.6,0.48,,,3,479,68,997.9166666666667,Recent,Budget,Accessory
Headphones,Dell,Dead,3.5,0.43,,,1,402,51,934.8837209302326,Old,Premium,Accessory
Tablet,Apple,Dead,7.2,0.56,512.0,11.3,2,689,79,1230.3571428571427,Very_Old,Premium,Mobile
Speaker,Realme,Repairable,3.1,2.15,,,2,543,78,252.55813953488374,Old,Budget,Accessory
Monitor,Asus,Working,1.9,4.56,,27.4,1,7718,820,1692.5438596491229,Recent,Budget,Computer
Keyboard,Dell,Repairable,3.2,0.66,,,2,539,74,816.6666666666666,Old,Premium,Computer
Charger,Dell,Dead,1.1,0.14,,,2,151,25,1078.5714285714284,Recent,Premium,Accessory
Tablet,Dell,Working,5.3,0.55,32.0,12.4,2,6770,718,12309.090909090908,Very_Old,Premium,Mobile
Smartphone,Local,Working,4.2,0.17,256.0,5.7,1,3459,380,20347.05882352941,Old,Budget,Mobile
Monitor,MSI,Working,1.3,3.31,,20.4,1,9362,983,2828.3987915407856,Recent,Premium,Computer
Keyboard,Generic,Repairable,1.1,0.72,,,2,410,62,569.4444444444445,Recent,Budget,Computer
Keyboard,Local,Working,4.7,0.71,,,2,324,68,456.3380281690141,Old,Budget,Computer
Smartphone,Realme,Repairable,4.4,0.23,256.0,6.2,3,1474,167,6408.695652173913,Old,Budget,Mobile
Battery,Realme,Dead,6.3,0.64,,,2,50,16,78.125,Very_Old,Budget,Accessory
Mouse,OnePlus,Repairable,1.9,0.16,,,3,293,49,1831.25,Recent,Budget,Computer
Smartphone,OnePlus,Working,0.8,0.18,256.0,6.6,3,11737,1213,65205.555555555555,New,Budget,Mobile
Smartphone,Local,Dead,0.8,0.25,512.0,6.2,2,1042,114,4168.0,New,Budget,Mobile
Smartphone,OnePlus,Working,3.3,0.23,1024.0,5.6,3,8244,864,35843.47826086956,Old,Budget,Mobile
Monitor,Lenovo,Repairable,4.4,3.66,,28.6,3,2123,239,580.0546448087431,Old,Budget,Computer
Headphones,Xiaomi,Working,2.8,0.28,,,1,1309,166,4675.0,Recent,Budget,Accessory
Smartphone,Acer,Repairable,0.9,0.16,64.0,5.9,2,5090,534,31812.5,New,Budget,Mobile
Keyboard,Samsung,Repairable,4.3,0.77,,,1,452,67,587.012987012987,Old,Premium,Computer
Speaker,Local,Repairable,4.1,2.1,,,1,342,58,162.85714285714286,Old,Budget,Accessory
Battery,Sony,Repairable,3.0,0.56,,,1,501,71,894.6428571428571,Recent,Premium,Accessory
Speaker,Local,Repairable,1.7,2.66,,,1,694,94,260.90225563909775,Recent,Budget,Accessory
Keyboard,Samsung,Working,3.0,0.57,,,2,1323,168,2321.0526315789475,Recent,Premium,Computer
Tablet,Acer,Repairable,2.7,0.68,32.0,12.3,1,4920,513,7235.294117647059,Recent,Budget,Mobile
Keyboard,Asus,Working,3.1,0.58,,,2,944,130,1627.5862068965519,Old,Budget,Computer
Battery,Acer,Dead,4.8,0.32,,,2,113,22,353.125,Old,Budget,Accessory
Tablet,LG,Repairable,2.8,0.65,32.0,9.2,3,4180,439,6430.7692307692305,Recent,Budget,Mobile
Charger,Realme,Dead,6.2,0.16,,,3,45,14,281.25,Very_Old,Budget,Accessory
Tablet,Generic,Working,1.5,0.46,1024.0,10.7,1,6224,663,13530.434782608696,Recent,Budget,Mobile
Headphones,Lenovo,Repairable,7.9,0.31,,,3,98,30,316.1290322580645,Very_Old,Budget,Accessory
Headphones,Asus,Working,1.3,0.36,,,3,1735,209,4819.444444444444,Recent,Budget,Accessory
Monitor,Apple,Repairable,4.7,5.53,,20.8,1,3637,394,657.6853526220615,Old,Premium,Computer
Keyboard,Xiaomi,Dead,8.0,0.67,,,2,50,16,74.62686567164178,Very_Old,Budget,Computer
Smartphone,Realme,Dead,2.7,0.21,64.0,5.8,1,1132,123,5390.476190476191,Recent,Budget,Mobile
Keyboard,Xiaomi,Repairable,3.6,0.64,,,1,395,60,617.1875,Old,Budget,Computer
Speaker,Apple,Working,2.6,1.84,,,2,3166,355,1720.6521739130435,Recent,Premium,Accessory
Speaker,Asus,Repairable,1.1,2.5,,,3,1319,156,527.6,Recent,Budget,Accessory
Smartphone,Dell,Working,1.3,0.21,1024.0,5.8,2,14101,1450,67147.61904761905,Recent,Premium,Mobile
Tablet,Generic,Working,5.6,0.54,512.0,9.0,3,2082,244,3855.555555555555,Very_Old,Budget,Mobile
Headphones,Sony,Dead,1.6,0.27,,,1,416,52,1540.7407407407406,Recent,Premium,Accessory
Battery,Dell,Working,5.4,0.72,,,1,538,89,747.2222222222223,Very_Old,Premium,Accessory
Speaker,Realme,Dead,0.9,1.24,,,1,341,46,275.0,New,Budget,Accessory
Keyboard,Acer,Repairable,3.1,1.15,,,3,384,60,333.9130434782609,Old,Budget,Computer
Laptop,MSI,Working,0.8,2.27,128.0,14.5,3,22607,2305,9959.030837004406,New,Premium,Computer
Laptop,MSI,Repairable,2.4,2.58,512.0,13.1,1,11583,1188,4489.53488372093,Recent,Premium,Computer
Keyboard,Dell,Working,8.0,0.66,,,3,125,48,189.39393939393938,Very_Old,Premium,Computer
Charger,OnePlus,Repairable,0.9,0.11,,,1,316,51,2872.7272727272725,New,Budget,Accessory
Monitor,Realme,Working,3.7,4.71,,27.8,2,2968,340,630.1486199575371,Old,Budget,Computer
Mouse,Samsung,Repairable,1.9,0.19,,,2,434,63,2284.2105263157896,Recent,Premium,Computer
Headphones,LG,Repairable,0.5,0.43,,,2,1069,127,2486.046511627907,New,Budget,Accessory
Mouse,Realme,Dead,8.0,0.15,,,2,50,15,333.33333333333337,Very_Old,Budget,Computer
Tablet,Realme,Repairable,3.3,0.5,512.0,12.9,3,2975,318,5950.0,Old,Budget,Mobile
Keyboard,Xiaomi,Dead,4.4,0.57,,,3,111,22,194.73684210526318,Old,Budget,Computer
Monitor,Acer,Working,1.3,3.03,,22.1,1,6962,742,2297.689768976898,Recent,Budget,Computer
Laptop,Apple,Repairable,3.9,2.01,32.0,13.0,3,11940,1223,5940.298507462687,Old,Premium,Computer
Monitor,MSI,Repairable,1.2,4.21,,19.9,2,4176,445,991.9239904988124,Recent,Premium,Computer
Smartphone,Sony,Working,0.9,0.21,1024.0,5.8,1,12539,1293,59709.52380952381,New,Premium,Mobile
Monitor,Acer,Working,1.4,7.38,,25.4,3,6788,733,919.7831978319783,Recent,Budget,Computer
Headphones,Lenovo,Repairable,1.3,0.23,,,2,1152,135,5008.695652173913,Recent,Budget,Accessory
Smartphone,Samsung,Repairable,0.6,0.18,128.0,5.6,2,6270,652,34833.333333333336,New,Premium,Mobile
Speaker,Realme,Dead,0.9,2.57,,,3,286,43,111.284046692607,New,Budget,Accessory
Monitor,Sony,Dead,2.5,3.62,,30.8,3,1221,139,337.292817679558,Recent,Premium,Computer
Keyboard,Local,Repairable,0.9,1.07,,,1,350,57,327.10280373831773,New,Budget,Computer
Tablet,Xiaomi,Working,0.7,0.78,256.0,12.2,3,8476,889,10866.666666666666,New,Budget,Mobile
Mouse,Local,Working,0.9,0.19,,,3,210,56,1105.2631578947369,New,Budget,Computer
Battery,Local,Repairable,1.9,0.68,,,3,214,42,314.70588235294116,Recent,Budget,Accessory
Headphones,Realme,Repairable,5.3,0.45,,,2,309,51,686.6666666666666,Very_Old,Budget,Accessory
Mouse,Apple,Working,0.9,0.13,,,2,956,130,7353.846153846153,New,Premium,Computer
Charger,Samsung,Dead,1.4,0.18,,,1,156,25,866.6666666666667,Recent,Premium,Accessory
Smartphone,Sony,Dead,0.8,0.22,1024.0,5.6,2,2522,262,11463.636363636364,New,Premium,Mobile
Tablet,Realme,Repairable,1.9,0.72,64.0,11.2,2,4145,435,5756.944444444444,Recent,Budget,Mobile
Headphones,Acer,Dead,0.8,0.36,,,3,306,41,850.0,New,Budget,Accessory
Headphones,LG,Working,1.4,0.32,,,3,1310,167,4093.75,Recent,Budget,Accessory
Charger,Xiaomi,Dead,1.1,0.29,,,2,98,20,337.93103448275866,Recent,Budget,Accessory
Mouse,Lenovo,Working,1.4,0.1,,,2,519,86,5190.0,Recent,Budget,Computer
Smartphone,MSI,Working,1.5,0.24,32.0,6.4,2,8902,930,37091.66666666667,Recent,Premium,Mobile
Smartphone,MSI,Repairable,0.7,0.25,512.0,6.4,1,7207,745,28828.0,New,Premium,Mobile
Charger,Local,Repairable,1.3,0.23,,,3,94,29,408.695652173913,Recent,Budget,Accessory
Headphones,MSI,Working,0.8,0.48,,,3,2407,276,5014.583333333334,New,Premium,Accessory
Laptop,Generic,Dead,4.9,2.44,512.0,13.3,2,1604,175,657.3770491803278,Old,Budget,Computer
Tablet,HP,Repairable,1.3,0.53,256.0,9.7,2,8221,848,15511.32075471698,Recent,Budget,Mobile
Mouse,Samsung,Working,0.8,0.16,,,3,833,118,5206.25,New,Premium,Computer
Speaker,Generic,Working,1.5,1.26,,,2,1124,150,892.063492063492,Recent,Budget,Accessory
Smartphone,Samsung,Repairable,1.0,0.18,1024.0,6.1,3,6769,701,37605.555555555555,New,Premium,Mobile
Smartphone,Realme,Dead,2.9,0.19,1024.0,5.4,3,1148,124,6042.105263157895,Recent,Budget,Mobile
Charger,HP,Working,1.8,0.26,,,1,470,83,1807.6923076923076,Recent,Budget,Accessory
Charger,MSI,Repairable,0.7,0.28,,,1,343,55,1224.9999999999998,New,Premium,Accessory
Tablet,Dell,Working,2.8,0.41,32.0,9.5,3,10868,1127,26507.317073170732,Recent,Premium,Mobile
Mouse,OnePlus,Working,0.6,0.16,,,2,649,99,4056.25,New,Budget,Computer
Mouse,Sony,Working,1.5,0.11,,,3,536,88,4872.727272727273,Recent,Premium,Computer
Headphones,Realme,Working,1.2,0.23,,,1,1496,184,6504.347826086956,Recent,Budget,Accessory
Speaker,Local,Working,0.5,1.97,,,2,1038,142,526.9035532994924,New,Budget,Accessory
Tablet,Apple,Repairable,1.2,0.77,1024.0,12.7,1,11284,1155,14654.545454545454,Recent,Premium,Mobile
Battery,Apple,Working,1.0,0.67,,,2,1573,193,2347.7611940298507,New,Premium,Accessory
Speaker,Local,Repairable,4.8,2.11,,,3,271,51,128.43601895734596,Old,Budget,Accessory
Keyboard,Realme,Working,0.9,0.62,,,2,947,130,1527.4193548387098,New,Budget,Computer
Monitor,Acer,Dead,1.3,4.86,,23.4,3,1509,170,310.4938271604938,Recent,Budget,Computer
Laptop,Local,Dead,6.6,2.61,256.0,16.5,2,624,77,239.08045977011494,Very_Old,Budget,Computer
Laptop,Generic,Dead,0.6,1.89,1024.0,13.9,2,3170,331,1677.2486772486773,New,Budget,Computer
Keyboard,Lenovo,Repairable,3.2,1.14,,,3,414,63,363.15789473684214,Old,Budget,Computer
Keyboard,Xiaomi,Working,1.3,1.17,,,1,944,131,806.8376068376069,Recent,Budget,Computer
Speaker,Lenovo,Dead,1.8,1.7,,,2,602,73,354.11764705882354,Recent,Budget,Accessory
Charger,MSI,Dead,2.2,0.25,,,2,129,22,516.0,Recent,Premium,Accessory
Keyboard,Apple,Working,1.3,0.8,,,1,2475,284,3093.75,Recent,Premium,Computer
Keyboard,Xiaomi,Dead,1.4,1.06,,,1,258,37,243.39622641509433,Recent,Budget,Computer
Charger,Realme,Repairable,2.5,0.25,,,2,154,35,616.0,Recent,Budget,Accessory
Battery,Generic,Repairable,4.2,0.5,,,1,141,35,282.0,Old,Budget,Accessory
Mouse,Asus,Working,1.5,0.17,,,2,627,97,3688.235294117647,Recent,Budget,Computer
Keyboard,LG,Repairable,3.3,0.75,,,1,539,75,718.6666666666666,Old,Budget,Computer
Monitor,OnePlus,Working,0.9,6.75,,21.7,2,8502,904,1259.5555555555557,New,Budget,Computer
Laptop,Sony,Working,1.2,2.62,1024.0,13.9,2,27654,2810,10554.961832061068,Recent,Premium,Computer
Battery,Realme,Dead,7.3,0.66,,,2,50,16,75.75757575757575,Very_Old,Budget,Accessory
Monitor,Dell,Repairable,1.6,5.38,,25.8,1,5625,598,1045.5390334572492,Recent,Premium,Computer
Speaker,Generic,Repairable,3.0,1.5,,,2,526,75,350.6666666666667,Recent,Budget,Accessory
Keyboard,Sony,Repairable,0.8,0.64,,,3,592,80,925.0,New,Premium,Computer
Tablet,Lenovo,Dead,0.6,0.79,32.0,11.3,2,2747,286,3477.215189873418,New,Budget,Mobile
Speaker,MSI,Dead,4.2,2.1,,,2,333,47,158.57142857142856,Old,Premium,Accessory
Smartphone,Samsung,Working,3.1,0.21,64.0,6.4,3,8428,882,40133.333333333336,Old,Premium,Mobile
Smartphone,MSI,Working,7.9,0.21,64.0,6.2,2,1187,153,5652.380952380952,Very_Old,Premium,Mobile
Headphones,LG,Repairable,0.6,0.47,,,2,909,111,1934.0425531914896,New,Budget,Accessory
Monitor,Asus,Dead,1.3,7.08,,24.1,1,2083,232,294.2090395480226,Recent,Budget,Computer
Headphones,Local,Dead,1.8,0.46,,,2,165,27,358.695652173913,Recent,Budget,Accessory
Charger,Samsung,Repairable,4.6,0.12,,,2,195,39,1625.0,Old,Premium,Accessory
Mouse,LG,Dead,4.3,0.12,,,3,70,17,583.3333333333334,Old,Budget,Computer
Smartphone,Sony,Dead,0.9,0.22,32.0,6.1,1,2911,301,13231.818181818182,New,Premium,Mobile
Mouse,Generic,Dead,0.9,0.12,,,1,73,17,608.3333333333334,New,Budget,Computer
Headphones,Generic,Working,1.3,0.37,,,2,1129,148,3051.3513513513512,Recent,Budget,Accessory
Speaker,LG,Repairable,2.7,1.87,,,3,1107,134,591.9786096256685,Recent,Budget,Accessory
Battery,LG,Repairable,3.0,0.77,,,1,411,63,533.7662337662338,Recent,Budget,Accessory
Tablet,Xiaomi,Working,1.1,0.42,512.0,8.6,2,10828,1123,25780.95238095238,Recent,Budget,Mobile
Charger,Generic,Repairable,1.2,0.21,,,1,163,36,776.1904761904763,Recent,Budget,Accessory
Tablet,Dell,Working,2.3,0.47,1024.0,11.0,1,14093,1450,29985.106382978724,Recent,Premium,Mobile
Keyboard,Asus,Repairable,7.5,1.01,,,3,88,30,87.12871287128714,Very_Old,Budget,Computer
Laptop,Dell,Repairable,3.4,2.39,256.0,15.7,3,8183,848,3423.849372384937,Old,Premium,Computer
Speaker,Local,Repairable,2.5,2.2,,,1,537,77,244.09090909090907,Recent,Budget,Accessory
Mouse,LG,Repairable,2.0,0.13,,,2,295,49,2269.230769230769,Recent,Budget,Computer
Charger,HP,Working,0.9,0.26,,,2,487,84,1873.076923076923,New,Budget,Accessory
Speaker,Xiaomi,Dead,0.7,1.87,,,1,515,65,275.40106951871655,New,Budget,Accessory
Mouse,Lenovo,Repairable,1.7,0.13,,,2,314,51,2415.3846153846152,Recent,Budget,Computer
Charger,Apple,Dead,1.4,0.29,,,2,210,32,724.1379310344828,Recent,Premium,Accessory
Charger,Samsung,Repairable,1.9,0.17,,,3,298,49,1752.941176470588,Recent,Premium,Accessory
Laptop,Dell,Repairable,0.6,2.21,512.0,16.7,3,13673,1396,6186.877828054298,New,Premium,Computer
Headphones,Xiaomi,Repairable,0.5,0.37,,,2,866,107,2340.5405405405404,New,Budget,Accessory
Speaker,Samsung,Working,1.8,1.17,,,2,3393,376,2900.0,Recent,Premium,Accessory
Laptop,Asus,Repairable,2.0,2.42,512.0,14.9,2,10994,1129,4542.975206611571,Recent,Budget,Computer
Smartphone,Local,Working,1.6,0.16,32.0,6.5,2,3318,366,20737.5,Recent,Budget,Mobile
Mouse,Local,Repairable,1.0,0.12,,,3,139,33,1158.3333333333335,New,Budget,Computer
Battery,Sony,Dead,3.4,0.33,,,3,160,27,484.8484848484848,Old,Premium,Accessory
Headphones,Dell,Working,0.8,0.21,,,3,1694,204,8066.666666666667,New,Premium,Accessory
Headphones,Acer,Dead,4.1,0.24,,,1,206,30,858.3333333333334,Old,Budget,Accessory
Keyboard,Realme,Working,1.7,1.09,,,1,722,109,662.3853211009174,Recent,Budget,Computer
Headphones,MSI,Repairable,1.6,0.21,,,1,1188,138,5657.142857142858,Recent,Premium,Accessory
Keyboard,Samsung,Working,2.2,0.9,,,1,1375,174,1527.7777777777778,Recent,Premium,Computer
Headphones,Lenovo,Working,1.3,0.23,,,1,1885,223,8195.652173913044,Recent,Budget,Accessory
Headphones,Apple,Repairable,0.7,0.43,,,2,2054,226,4776.7441860465115,New,Premium,Accessory
Speaker,Acer,Working,7.5,2.73,,,2,270,67,98.9010989010989,Very_Old,Budget,Accessory
Tablet,Lenovo,Dead,2.9,0.51,64.0,10.2,2,2264,237,4439.21568627451,Recent,Budget,Mobile
Mouse,Generic,Working,1.8,0.18,,,3,251,60,1394.4444444444446,Recent,Budget,Computer
Tablet,Realme,Dead,1.3,0.77,64.0,10.4,3,1312,143,1703.8961038961038,Recent,Budget,Mobile
Battery,MSI,Working,5.4,0.61,,,2,454,81,744.2622950819672,Very_Old,Premium,Accessory
Tablet,HP,Repairable,1.1,0.54,128.0,10.7,1,9150,941,16944.44444444444,Recent,Budget,Mobile
Headphones,MSI,Dead,1.9,0.23,,,1,400,50,1739.1304347826085,Recent,Premium,Accessory
Keyboard,LG,Repairable,7.1,0.76,,,2,119,33,156.57894736842104,Very_Old,Budget,Computer
Mouse,HP,Working,0.7,0.17,,,3,754,110,4435.294117647059,New,Budget,Computer
Keyboard,Lenovo,Working,2.2,0.59,,,3,978,133,1657.6271186440679,Recent,Budget,Computer
Smartphone,Lenovo,Dead,3.4,0.19,256.0,6.2,2,1857,195,9773.684210526315,Old,Budget,Mobile
Charger,OnePlus,Repairable,5.1,0.22,,,1,122,32,554.5454545454545,Very_Old,Budget,Accessory
Mouse,Asus,Working,1.2,0.12,,,3,699,104,5825.0,Recent,Budget,Computer
Speaker,Local,Repairable,3.4,2.35,,,1,419,66,178.29787234042553,Old,Budget,Accessory
Headphones,Lenovo,Dead,0.9,0.43,,,1,481,59,1118.6046511627908,New,Budget,Accessory
Speaker,LG,Repairable,1.0,2.23,,,2,1106,134,495.9641255605381,New,Budget,Accessory
Monitor,Acer,Repairable,1.3,5.34,,31.8,3,2741,305,513.2958801498128,Recent,Budget,Computer
Mouse,Sony,Repairable,1.0,0.11,,,3,318,51,2890.909090909091,New,Premium,Computer
Charger,OnePlus,Working,3.4,0.19,,,1,417,76,2194.7368421052633,Old,Budget,Accessory
Laptop,Apple,Repairable,0.5,1.55,512.0,16.3,1,24536,2481,15829.677419354839,New,Premium,Computer
Keyboard,Sony,Working,4.8,0.56,,,1,801,116,1430.3571428571427,Old,Premium,Computer
Monitor,Apple,Working,5.4,4.94,,20.7,1,6153,665,1245.5465587044534,Very_Old,Premium,Computer
Speaker,Asus,Dead,6.0,2.5,,,1,261,41,104.4,Very_Old,Budget,Accessory
Speaker,Asus,Working,2.8,1.73,,,3,2192,257,1267.0520231213873,Recent,Budget,Accessory
Laptop,Generic,Repairable,1.1,2.0,256.0,16.1,2,7581,787,3790.5,Recent,Budget,Computer
Speaker,MSI,Dead,5.8,1.41,,,3,238,36,168.79432624113477,Very_Old,Premium,Accessory
Tablet,Lenovo,Working,3.2,0.43,1024.0,9.4,3,8327,873,19365.116279069767,Old,Budget,Mobile
Keyboard,Local,Dead,1.2,1.19,,,3,122,24,102.52100840336135,Recent,Budget,Computer
Charger,Lenovo,Working,3.0,0.3,,,1,383,74,1276.6666666666667,Recent,Budget,Accessory
Smartphone,LG,Working,3.7,0.19,32.0,5.3,1,7530,793,39631.57894736842,Old,Budget,Mobile
Headphones,Dell,Repairable,6.4,0.27,,,2,295,50,1092.5925925925926,Very_Old,Premium,Accessory
Monitor,Realme,Working,3.3,4.97,,24.8,2,3441,389,692.354124748491,Old,Budget,Computer
Laptop,Dell,Repairable,3.2,1.84,256.0,14.2,1,9773,1006,5311.413043478261,Old,Premium,Computer
Laptop,Local,Repairable,1.8,1.75,128.0,14.6,1,4975,521,2842.8571428571427,Recent,Budget,Computer
Laptop,Samsung,Repairable,0.6,2.37,128.0,13.6,3,16526,1682,6972.995780590717,New,Premium,Computer
Smartphone,Local,Repairable,2.3,0.22,1024.0,6.3,2,2023,222,9195.454545454546,Recent,Budget,Mobile
Smartphone,Asus,Working,1.6,0.2,64.0,6.2,3,6832,723,34160.0,Recent,Budget,Mobile
Battery,Realme,Working,2.7,0.32,,,3,393,75,1228.125,Recent,Budget,Accessory
Keyboard,Xiaomi,Repairable,8.0,0.79,,,3,50,27,63.291139240506325,Very_Old,Budget,Computer
Laptop,OnePlus,Working,5.3,2.58,256.0,16.2,3,10160,1061,3937.984496124031,Very_Old,Budget,Computer
Keyboard,Samsung,Repairable,4.5,0.82,,,3,401,62,489.0243902439025,Old,Premium,Computer
Charger,Sony,Repairable,1.5,0.29,,,2,322,53,1110.344827586207,Recent,Premium,Accessory
Laptop,Sony,Repairable,0.7,2.79,128.0,13.3,1,15921,1623,5706.451612903225,New,Premium,Computer
Keyboard,MSI,Dead,2.1,0.79,,,2,336,45,425.3164556962025,Recent,Premium,Computer
Tablet,OnePlus,Working,1.0,0.73,256.0,8.3,2,15450,1586,21164.383561643837,New,Budget,Mobile
Headphones,Acer,Working,7.6,0.35,,,1,197,55,562.8571428571429,Very_Old,Budget,Accessory
Charger,Xiaomi,Working,1.8,0.27,,,2,301,66,1114.8148148148148,Recent,Budget,Accessory
Monitor,Dell,Working,0.9,3.65,,29.1,1,9145,961,2505.4794520547944,New,Premium,Computer
Speaker,HP,Repairable,1.8,1.45,,,1,1255,148,865.5172413793103,Recent,Budget,Accessory
Mouse,Asus,Working,1.3,0.19,,,2,617,96,3247.3684210526317,Recent,Budget,Computer
Keyboard,Apple,Working,8.0,0.84,,,1,224,59,266.6666666666667,Very_Old,Premium,Computer
Smartphone,LG,Working,4.9,0.2,1024.0,6.8,2,5268,566,26340.0,Old,Budget,Mobile
Keyboard,Asus,Dead,0.6,0.57,,,2,364,47,638.5964912280702,New,Budget,Computer
Speaker,HP,Dead,1.2,1.37,,,1,553,68,403.6496350364963,Recent,Budget,Accessory
